game,arm,turn,level,lives,gold,score,tier,reward,expiresIn,success
0,NONE,0,0,3,0,0,"Quite likely",27,7,true
0,NONE,1,0,3,27,27,"Risky",27,6,true
0,NONE,2,0,3,54,54,"Hmmm....",19,5,true
0,NONE,3,0,3,73,73,"Sure thing",4,4,true
0,NONE,4,0,3,77,77,"Gamble",26,7,false
0,NONE,5,0,2,77,77,"Sure thing",45,4,true
0,NONE,6,0,2,122,122,"Quite likely",13,7,true
0,NONE,7,0,2,135,135,"Quite likely",37,7,true
0,NONE,8,0,2,172,172,"Gamble",70,6,true
0,NONE,9,0,2,242,242,"Risky",45,7,false
0,NONE,11,0,2,192,242,"Hmmm....",13,3,true
0,NONE,12,0,2,205,255,"Hmmm....",34,7,true
0,NONE,13,0,2,239,289,"Piece of cake",62,4,true
0,NONE,14,0,2,301,351,"Gamble",38,7,false
0,NONE,16,0,2,251,351,"Quite likely",35,6,false
0,NONE,18,0,2,201,351,"Quite likely",63,6,false
0,NONE,20,0,2,151,351,"Rather detrimental",50,7,false
0,NONE,22,0,2,101,351,"Gamble",35,4,true
0,NONE,23,0,2,136,386,"Quite likely",33,7,false
0,NONE,25,0,2,86,386,"Rather detrimental",136,3,false
0,NONE,27,0,2,36,386,"Quite likely",126,6,true
0,NONE,28,0,2,162,512,"Gamble",143,3,true
0,NONE,29,0,2,305,655,"Piece of cake",91,7,true
0,NONE,30,0,2,396,746,"Gamble",107,7,true
0,NONE,31,0,2,503,853,"Quite likely",128,3,true
0,NONE,32,0,2,631,981,"Quite likely",97,7,true
0,NONE,33,0,2,728,1078,"Quite likely",109,7,false
0,NONE,35,0,2,678,1078,"Quite likely",81,6,true
0,NONE,36,0,2,759,1159,"Risky",112,6,false
0,NONE,38,0,2,709,1159,"Quite likely",81,6,true
0,NONE,39,0,2,790,1240,"Rather detrimental",75,5,false
0,NONE,41,0,2,740,1240,"Rather detrimental",77,7,false
0,NONE,43,0,2,690,1240,"Quite likely",83,6,true
0,NONE,44,0,2,773,1323,"Quite likely",78,7,true
0,NONE,45,0,2,851,1401,"Quite likely",74,5,false
0,NONE,47,0,2,801,1401,"Quite likely",101,7,true
0,NONE,48,0,2,902,1502,"Risky",97,5,false
1,NONE,0,0,3,0,0,"Hmmm....",19,7,true
1,NONE,1,0,3,19,19,"Gamble",3,6,false
1,NONE,2,0,2,19,19,"Quite likely",5,5,true
1,NONE,3,0,2,24,24,"Sure thing",63,4,true
1,NONE,4,0,2,87,87,"Sure thing",64,3,true
1,NONE,5,0,2,151,151,"Hmmm....",15,7,true
1,NONE,6,0,2,166,166,"Sure thing",20,3,true
1,NONE,7,0,2,186,186,"Gamble",11,7,true
1,NONE,8,0,2,197,197,"Risky",24,7,true
1,NONE,9,0,2,221,221,"Quite likely",27,6,true
1,NONE,10,0,2,248,248,"Hmmm....",34,7,false
1,NONE,12,0,2,198,248,"Quite likely",17,4,true
1,NONE,13,0,2,215,265,"Sure thing",63,5,true
1,NONE,14,0,2,278,328,"Quite likely",39,7,true
1,NONE,15,0,2,317,367,"Quite likely",31,6,true
1,NONE,16,0,2,348,398,"Quite likely",18,5,true
1,NONE,17,0,2,366,416,"Risky",128,3,true
1,NONE,18,0,2,494,544,"Sure thing",72,7,true
1,NONE,19,0,2,566,616,"Piece of cake",48,3,true
1,NONE,20,0,2,614,664,"Piece of cake",30,5,true
1,NONE,21,0,2,644,694,"Gamble",72,7,true
1,NONE,22,0,2,716,766,"Rather detrimental",85,7,false
1,NONE,24,0,2,666,766,"Rather detrimental",156,3,false
1,NONE,26,0,2,616,766,"Gamble",116,3,true
1,NONE,27,0,2,732,882,"Sure thing",177,7,false
1,NONE,29,0,2,682,882,"Gamble",134,3,false
1,NONE,31,0,2,632,882,"Sure thing",170,3,false
1,NONE,33,0,2,582,882,"Gamble",106,6,true
1,NONE,34,0,2,688,988,"Sure thing",184,5,false
1,NONE,36,0,2,638,988,"Sure thing",165,4,false
1,NONE,38,0,2,588,988,"Quite likely",91,6,true
1,NONE,39,0,2,679,1079,"Risky",93,7,false
1,NONE,41,0,2,629,1079,"Gamble",79,7,true
1,NONE,42,0,2,708,1158,"Sure thing",172,5,false
1,NONE,44,0,2,658,1158,"Gamble",75,7,true
1,NONE,45,0,2,733,1233,"Sure thing",184,4,false
1,NONE,47,0,2,683,1233,"Sure thing",167,6,false
1,NONE,49,0,2,633,1233,"Hmmm....",55,7,true
2,NONE,0,0,3,0,0,"Gamble",31,7,true
2,NONE,1,0,3,31,31,"Rather detrimental",29,6,false
2,NONE,2,0,2,31,31,"Hmmm....",51,7,false
2,NONE,3,0,1,31,31,"Hmmm....",23,7,true
2,NONE,5,0,2,4,54,"Hmmm....",11,3,false
2,NONE,6,0,1,4,54,"Quite likely",28,7,true
2,NONE,7,0,1,32,82,"Rather detrimental",33,7,false
3,NONE,0,0,3,0,0,"Hmmm....",19,7,true
3,NONE,1,0,3,19,19,"Quite likely",60,6,true
3,NONE,2,0,3,79,79,"Quite likely",19,5,true
3,NONE,3,0,3,98,98,"Quite likely",17,6,true
3,NONE,4,0,3,115,115,"Quite likely",12,6,true
3,NONE,5,0,3,127,127,"Sure thing",33,7,true
3,NONE,6,0,3,160,160,"Quite likely",55,7,false
3,NONE,7,0,2,160,160,"Risky",31,7,false
3,NONE,9,0,2,110,160,"Risky",27,6,true
3,NONE,10,0,2,137,187,"Hmmm....",63,4,true
3,NONE,11,0,2,200,250,"Hmmm....",76,7,false
3,NONE,13,0,2,150,250,"Hmmm....",19,5,true
