game,arm,rewardArm,expiryArm,turn,level,lives,gold,score,tier,adId,message,reward,expiresIn,success
0,NONE,NA,NA,0,0,3,0,0,"Piece of cake","06xTpbit","Help Auda Watkins to fix their chariot",4,7,true
0,NONE,NA,NA,1,0,3,4,4,"Piece of cake","EidSrb4E","Escort Adelaida Rodgers to plains in Darkham where they can meet with their long lost dog",86,6,true
0,NONE,NA,NA,2,0,3,90,90,"Piece of cake","TRd3QtBE","Help Anaxagoras Watkins to fix their beer mug",5,5,true
0,NONE,NA,NA,3,0,3,95,95,"Piece of cake","0ctWaZBW","Help Jozefina Porcher to clean their turnips",7,7,true
0,NONE,NA,NA,4,0,3,102,102,"Piece of cake","Zvp6aaVi","Help Ríona Botwright to clean their squirrel",2,3,true
0,NONE,NA,NA,5,0,3,104,104,"Walk in the park","OGmkAVXt","Help Adomas Hambleton to reach an agreement with Olena Jennings on the matters of disputed pot",12,7,true
0,NONE,NA,EXPIRING,6,0,3,116,116,"Walk in the park","W353SA3w","Help Hedwig Shackleford to transport a magic dog to savannah in Redheart",10,1,true
0,NONE,NA,EXPIRING,7,0,3,126,126,"Walk in the park","Xdhs0Ar5","Steal chariot delivery to Nenad Belcher and share some of the profits with the people.",50,1,true
0,NONE,NA,NA,8,0,3,176,176,"Piece of cake","eC8nlAQy","Create an advertisement campaign for Damocles Wyndham to promote their potatoes based business",33,6,true
0,NONE,NA,NA,9,0,3,209,209,"Piece of cake","jA8OpxFm","Help Hanako Witherspoon to reach an agreement with Dara Tennyson on the matters of disputed squirrel",10,5,true
0,NONE,NA,NA,10,0,3,219,219,"Piece of cake","tRDuwxJT","Help Prema Matthewson to sell an unordinary pot on the local market",19,5,true
0,NONE,NA,NA,11,0,3,238,238,"Piece of cake","BRzLxRjN","Escort Sawyl Jefferson to village in Razorchester where they can meet with their long lost clothes",71,7,true
0,NONE,NA,EXPIRING,12,0,3,309,309,"Walk in the park","xbEvPCCf","Create an advertisement campaign for Gitta Botterill to promote their dog based business",27,1,true
0,NONE,NA,FRESH,13,0,3,336,336,"Piece of cake","PYfdlYPD","Help Ilarion Tyrrell to sell an unordinary clothes on the local market",10,6,true
0,NONE,NA,NA,14,0,3,346,346,"Piece of cake","596kLPd0","Help Gera Ódinsson to sell an unordinary sheep on the local market",15,7,true
0,NONE,NA,FRESH,15,0,3,361,361,"Risky","OgDQjkms","Create an advertisement campaign for Benj Parsley to promote their wagon based business",33,5,true
0,NONE,NA,NA,16,0,3,394,394,"Piece of cake","GVXIGWzv","Steal beer mug delivery to Sarita Robinson and share some of the profits with the people.",59,5,true
0,NONE,NA,NA,17,0,3,453,453,"Piece of cake","YEtsvfAK","Help Yating Madison to sell an unordinary wagon on the local market",13,1,true
0,NONE,NA,FRESH,18,0,3,466,466,"Playing with fire","6i0FXdJ5","Help Kellie Woodward to write their biographical novel about their difficulties with a deranged sheep",38,7,true
0,NONE,NA,NA,19,0,3,504,504,"Hmmm....","bwALwCJD","Help Salvador Wembley to write their biographical novel about their difficulties with a deranged horse",46,2,false
0,NONE,NA,NA,20,0,2,504,504,"Piece of cake","ul0UUeXf","Escort Raginald Osbourne to savannah in Sharploft where they can meet with their long lost wagon",64,7,true
0,NONE,NA,FRESH,21,0,2,568,568,"Playing with fire","oKtMrJ1O","Investigate Buddy Ledford and find out their relation to the magic turnips.",148,3,false
0,NONE,NA,FRESH,23,0,2,518,568,"Gamble","iRQt4bZp","Help defending meadow in Orrinscale from the intruders",105,7,false
0,NONE,NA,EXPIRING,25,0,2,468,568,"Suicide mission","MqQpJ8ny","Infiltrate The Risen Demons and recover their secrets.",129,1,false
0,NONE,NA,EXPIRING,27,0,2,418,568,"Piece of cake","dOoPnGsn","Escort Priska Bannerman to savannah in Razormoore where they can meet with their long lost chicken",75,1,true
0,NONE,NA,NA,28,0,2,493,643,"Sure thing","l7Sajx0N","Help defending plains in Eastford from the intruders",97,5,true
0,NONE,NA,FRESH,29,0,2,590,740,"Rather detrimental","mZtVJgKF","Help defending plains in Newmountain from the intruders",71,7,true
0,NONE,NA,EXPIRING,30,0,2,661,811,"Quite likely","5757maht","Escort Vasilka Bartram to plains in Penpool where they can meet with their long lost house",67,1,true
0,NONE,NA,NA,31,0,2,728,878,"Piece of cake","STXH4xlO","Help defending savannah in Everbane from the intruders",112,7,true
0,NONE,NA,NA,32,0,2,840,990,"Piece of cake","UwXa38cW","Help defending grassland in Scaledrone from the intruders",85,7,true
0,NONE,NA,FRESH,33,0,2,925,1075,"Playing with fire","ze2tgro3","Help defending village in Bloodhill from the intruders",83,7,true
0,NONE,NA,NA,34,0,2,1008,1158,"Quite likely","GBSICfGJ","Help defending steppe in Fernseed from the intruders",95,3,true
0,NONE,NA,NA,35,0,2,1103,1253,"Piece of cake","6w1edZEk","Help defending grassland in Lightdale from the intruders",89,7,true
0,NONE,NA,EXPIRING,36,0,2,1192,1342,"Quite likely","NmjXLGxH","Help defending peninsula in Towerfirth from the intruders",100,1,false
0,NONE,NA,EXPIRING,38,0,2,1142,1342,"Quite likely","sRXIyeNk","Help defending pasture in Voidham from the intruders",91,1,false
0,NONE,NA,NA,40,0,2,1092,1342,"Piece of cake","1RCzuMkQ","Help defending village in Eastpeak from the intruders",89,4,true
0,NONE,NA,NA,41,0,2,1181,1431,"Piece of cake","uN2jXqXn","Help defending grassland in Penshore from the intruders",101,4,true
0,NONE,NA,FRESH,42,0,2,1282,1532,"Quite likely","uea57PHn","Help defending village in Fallshore from the intruders",72,6,true
0,NONE,NA,FRESH,43,0,2,1354,1604,"Gamble","qqWiOeqm","Help defending pasture in Redgannon from the intruders",99,4,false
