game,turn,level,arm,adId,tier,reward,expiresIn,encrypted,chosen
0,0,0,NONE,"VoC7wFyD","Hmmm....",34,7,,false
0,0,0,NONE,"TjZmbRY9","Quite likely",24,7,,false
0,0,0,NONE,"Uot5CuE5","Gamble",18,7,,false
0,0,0,NONE,"Zvp6aaVi","Piece of cake",2,7,,false
0,0,0,NONE,"06xTpbit","Piece of cake",4,7,,true
0,0,0,NONE,"EidSrb4E","Piece of cake",86,7,,false
0,0,0,NONE,"TRd3QtBE","Piece of cake",5,7,,false
0,0,0,NONE,"satMaICw","Suicide mission",23,7,,false
0,0,0,NONE,"W353SA3w","Walk in the park",10,7,,false
0,0,0,NONE,"bm5r4BGJ","Walk in the park",29,7,,false
0,1,0,NONE,"VoC7wFyD","Hmmm....",34,6,,false
0,1,0,NONE,"TjZmbRY9","Quite likely",24,6,,false
0,1,0,NONE,"Uot5CuE5","Gamble",18,6,,false
0,1,0,NONE,"Zvp6aaVi","Piece of cake",2,6,,false
0,1,0,NONE,"EidSrb4E","Piece of cake",86,6,,true
0,1,0,NONE,"TRd3QtBE","Piece of cake",5,6,,false
0,1,0,NONE,"satMaICw","Suicide mission",23,6,,false
0,1,0,NONE,"W353SA3w","Walk in the park",10,6,,false
0,1,0,NONE,"bm5r4BGJ","Walk in the park",29,6,,false
0,1,0,NONE,"Xdhs0Ar5","Walk in the park",50,7,,false
0,2,0,NONE,"VoC7wFyD","Hmmm....",34,5,,false
0,2,0,NONE,"TjZmbRY9","Quite likely",24,5,,false
0,2,0,NONE,"Uot5CuE5","Gamble",18,5,,false
0,2,0,NONE,"Zvp6aaVi","Piece of cake",2,5,,false
0,2,0,NONE,"TRd3QtBE","Piece of cake",5,5,,true
0,2,0,NONE,"satMaICw","Suicide mission",23,5,,false
0,2,0,NONE,"W353SA3w","Walk in the park",10,5,,false
0,2,0,NONE,"bm5r4BGJ","Walk in the park",29,5,,false
0,2,0,NONE,"Xdhs0Ar5","Walk in the park",50,6,,false
0,2,0,NONE,"z3cc06Au","Quite likely",21,7,,false
0,3,0,NONE,"VoC7wFyD","Hmmm....",34,4,,false
0,3,0,NONE,"TjZmbRY9","Quite likely",24,4,,false
0,3,0,NONE,"Uot5CuE5","Gamble",18,4,,false
0,3,0,NONE,"Zvp6aaVi","Piece of cake",2,4,,false
0,3,0,NONE,"satMaICw","Suicide mission",23,4,,false
0,3,0,NONE,"W353SA3w","Walk in the park",10,4,,false
0,3,0,NONE,"bm5r4BGJ","Walk in the park",29,4,,false
0,3,0,NONE,"Xdhs0Ar5","Walk in the park",50,5,,false
0,3,0,NONE,"z3cc06Au","Quite likely",21,6,,false
0,3,0,NONE,"0ctWaZBW","Piece of cake",7,7,,true
0,4,0,NONE,"VoC7wFyD","Hmmm....",34,3,,false
0,4,0,NONE,"TjZmbRY9","Quite likely",24,3,,false
0,4,0,NONE,"Uot5CuE5","Gamble",18,3,,false
0,4,0,NONE,"Zvp6aaVi","Piece of cake",2,3,,true
0,4,0,NONE,"satMaICw","Suicide mission",23,3,,false
0,4,0,NONE,"W353SA3w","Walk in the park",10,3,,false
0,4,0,NONE,"bm5r4BGJ","Walk in the park",29,3,,false
0,4,0,NONE,"Xdhs0Ar5","Walk in the park",50,4,,false
0,4,0,NONE,"z3cc06Au","Quite likely",21,5,,false
0,4,0,NONE,"9VAMKDnz","Playing with fire",33,7,,false
0,5,0,NONE,"VoC7wFyD","Hmmm....",34,2,,false
0,5,0,NONE,"TjZmbRY9","Quite likely",24,2,,false
0,5,0,NONE,"Uot5CuE5","Gamble",18,2,,false
0,5,0,NONE,"satMaICw","Suicide mission",23,2,,false
0,5,0,NONE,"W353SA3w","Walk in the park",10,2,,false
0,5,0,NONE,"bm5r4BGJ","Walk in the park",29,2,,false
0,5,0,NONE,"Xdhs0Ar5","Walk in the park",50,3,,false
0,5,0,NONE,"z3cc06Au","Quite likely",21,4,,false
0,5,0,NONE,"9VAMKDnz","Playing with fire",33,6,,false
0,5,0,NONE,"OGmkAVXt","Walk in the park",12,7,,true
0,6,0,NONE,"VoC7wFyD","Hmmm....",34,1,,false
0,6,0,NONE,"TjZmbRY9","Quite likely",24,1,,false
0,6,0,NONE,"Uot5CuE5","Gamble",18,1,,false
0,6,0,NONE,"satMaICw","Suicide mission",23,1,,false
0,6,0,NONE,"W353SA3w","Walk in the park",10,1,,true
0,6,0,NONE,"bm5r4BGJ","Walk in the park",29,1,,false
0,6,0,NONE,"Xdhs0Ar5","Walk in the park",50,2,,false
0,6,0,NONE,"z3cc06Au","Quite likely",21,3,,false
0,6,0,NONE,"9VAMKDnz","Playing with fire",33,5,,false
0,6,0,NONE,"xbEvPCCf","Walk in the park",27,7,,false
0,7,0,NONE,"Xdhs0Ar5","Walk in the park",50,1,,true
0,7,0,NONE,"z3cc06Au","Quite likely",21,2,,false
0,7,0,NONE,"9VAMKDnz","Playing with fire",33,4,,false
0,7,0,NONE,"xbEvPCCf","Walk in the park",27,6,,false
0,7,0,NONE,"jA8OpxFm","Piece of cake",10,7,,false
0,7,0,NONE,"qvPBaHCE","Risky",11,7,,false
0,7,0,NONE,"SzGLwhc8","Suicide mission",23,7,,false
0,7,0,NONE,"zbAKYw4x","Piece of cake",24,7,,false
0,7,0,NONE,"eC8nlAQy","Piece of cake",33,7,,false
0,7,0,NONE,"UFKrWcG6","Rather detrimental",46,7,,false
0,8,0,NONE,"z3cc06Au","Quite likely",21,1,,false
0,8,0,NONE,"9VAMKDnz","Playing with fire",33,3,,false
0,8,0,NONE,"xbEvPCCf","Walk in the park",27,5,,false
0,8,0,NONE,"jA8OpxFm","Piece of cake",10,6,,false
0,8,0,NONE,"qvPBaHCE","Risky",11,6,,false
0,8,0,NONE,"SzGLwhc8","Suicide mission",23,6,,false
0,8,0,NONE,"zbAKYw4x","Piece of cake",24,6,,false
0,8,0,NONE,"eC8nlAQy","Piece of cake",33,6,,true
0,8,0,NONE,"UFKrWcG6","Rather detrimental",46,6,,false
0,8,0,NONE,"tRDuwxJT","Piece of cake",19,7,,false
0,9,0,NONE,"9VAMKDnz","Playing with fire",33,2,,false
0,9,0,NONE,"xbEvPCCf","Walk in the park",27,4,,false
0,9,0,NONE,"jA8OpxFm","Piece of cake",10,5,,true
0,9,0,NONE,"qvPBaHCE","Risky",11,5,,false
0,9,0,NONE,"SzGLwhc8","Suicide mission",23,5,,false
0,9,0,NONE,"zbAKYw4x","Piece of cake",24,5,,false
0,9,0,NONE,"UFKrWcG6","Rather detrimental",46,5,,false
0,9,0,NONE,"tRDuwxJT","Piece of cake",19,6,,false
0,9,0,NONE,"OIXWQq9g","Walk in the park",27,7,,false
0,9,0,NONE,"8byz8G6j","Risky",47,7,,false
0,10,0,NONE,"9VAMKDnz","Playing with fire",33,1,,false
0,10,0,NONE,"xbEvPCCf","Walk in the park",27,3,,false
0,10,0,NONE,"qvPBaHCE","Risky",11,4,,false
0,10,0,NONE,"SzGLwhc8","Suicide mission",23,4,,false
0,10,0,NONE,"zbAKYw4x","Piece of cake",24,4,,false
0,10,0,NONE,"UFKrWcG6","Rather detrimental",46,4,,false
0,10,0,NONE,"tRDuwxJT","Piece of cake",19,5,,true
0,10,0,NONE,"OIXWQq9g","Walk in the park",27,6,,false
0,10,0,NONE,"8byz8G6j","Risky",47,6,,false
0,10,0,NONE,"C1UkpSOT","Quite likely",25,7,,false
0,11,0,NONE,"xbEvPCCf","Walk in the park",27,2,,false
0,11,0,NONE,"qvPBaHCE","Risky",11,3,,false
0,11,0,NONE,"SzGLwhc8","Suicide mission",23,3,,false
0,11,0,NONE,"zbAKYw4x","Piece of cake",24,3,,false
0,11,0,NONE,"UFKrWcG6","Rather detrimental",46,3,,false
0,11,0,NONE,"OIXWQq9g","Walk in the park",27,5,,false
0,11,0,NONE,"8byz8G6j","Risky",47,5,,false
0,11,0,NONE,"C1UkpSOT","Quite likely",25,6,,false
0,11,0,NONE,"YEtsvfAK","Piece of cake",13,7,,false
0,11,0,NONE,"BRzLxRjN","Piece of cake",71,7,,true
0,12,0,NONE,"xbEvPCCf","Walk in the park",27,1,,true
0,12,0,NONE,"qvPBaHCE","Risky",11,2,,false
0,12,0,NONE,"SzGLwhc8","Suicide mission",23,2,,false
0,12,0,NONE,"zbAKYw4x","Piece of cake",24,2,,false
0,12,0,NONE,"UFKrWcG6","Rather detrimental",46,2,,false
0,12,0,NONE,"OIXWQq9g","Walk in the park",27,4,,false
0,12,0,NONE,"8byz8G6j","Risky",47,4,,false
0,12,0,NONE,"C1UkpSOT","Quite likely",25,5,,false
0,12,0,NONE,"YEtsvfAK","Piece of cake",13,6,,false
0,12,0,NONE,"PYfdlYPD","Piece of cake",10,7,,false
0,13,0,NONE,"qvPBaHCE","Risky",11,1,,false
0,13,0,NONE,"SzGLwhc8","Suicide mission",23,1,,false
0,13,0,NONE,"zbAKYw4x","Piece of cake",24,1,,false
0,13,0,NONE,"UFKrWcG6","Rather detrimental",46,1,,false
0,13,0,NONE,"OIXWQq9g","Walk in the park",27,3,,false
0,13,0,NONE,"8byz8G6j","Risky",47,3,,false
0,13,0,NONE,"C1UkpSOT","Quite likely",25,4,,false
0,13,0,NONE,"YEtsvfAK","Piece of cake",13,5,,false
0,13,0,NONE,"PYfdlYPD","Piece of cake",10,6,,true
0,13,0,NONE,"OgDQjkms","Risky",33,7,,false
0,14,0,NONE,"OIXWQq9g","Walk in the park",27,2,,false
0,14,0,NONE,"8byz8G6j","Risky",47,2,,false
0,14,0,NONE,"C1UkpSOT","Quite likely",25,3,,false
0,14,0,NONE,"YEtsvfAK","Piece of cake",13,4,,false
0,14,0,NONE,"OgDQjkms","Risky",33,6,,false
0,14,0,NONE,"GVXIGWzv","Piece of cake",59,7,,false
0,14,0,NONE,"tnsqRHaJ","Gamble",75,7,,false
0,14,0,NONE,"bwALwCJD","Hmmm....",46,7,,false
0,14,0,NONE,"596kLPd0","Piece of cake",15,7,,true
0,14,0,NONE,"sr3z19vx","Gamble",43,7,,false
0,15,0,NONE,"OIXWQq9g","Walk in the park",27,1,,false
0,15,0,NONE,"8byz8G6j","Risky",47,1,,false
0,15,0,NONE,"C1UkpSOT","Quite likely",25,2,,false
0,15,0,NONE,"YEtsvfAK","Piece of cake",13,3,,false
0,15,0,NONE,"OgDQjkms","Risky",33,5,,true
0,15,0,NONE,"GVXIGWzv","Piece of cake",59,6,,false
0,15,0,NONE,"tnsqRHaJ","Gamble",75,6,,false
0,15,0,NONE,"bwALwCJD","Hmmm....",46,6,,false
0,15,0,NONE,"sr3z19vx","Gamble",43,6,,false
0,15,0,NONE,"Xv6mofTR","Playing with fire",29,7,,false
0,16,0,NONE,"C1UkpSOT","Quite likely",25,1,,false
0,16,0,NONE,"YEtsvfAK","Piece of cake",13,2,,false
0,16,0,NONE,"GVXIGWzv","Piece of cake",59,5,,true
0,16,0,NONE,"tnsqRHaJ","Gamble",75,5,,false
0,16,0,NONE,"bwALwCJD","Hmmm....",46,5,,false
0,16,0,NONE,"sr3z19vx","Gamble",43,5,,false
0,16,0,NONE,"Xv6mofTR","Playing with fire",29,6,,false
0,16,0,NONE,"uBtkgYnt","Risky",36,7,,false
0,16,0,NONE,"m8GPS1mv","Risky",76,7,,false
0,16,0,NONE,"29LxkoeL","Rather detrimental",33,7,,false
0,17,0,NONE,"YEtsvfAK","Piece of cake",13,1,,true
0,17,0,NONE,"tnsqRHaJ","Gamble",75,4,,false
0,17,0,NONE,"bwALwCJD","Hmmm....",46,4,,false
0,17,0,NONE,"sr3z19vx","Gamble",43,4,,false
0,17,0,NONE,"Xv6mofTR","Playing with fire",29,5,,false
0,17,0,NONE,"uBtkgYnt","Risky",36,6,,false
0,17,0,NONE,"m8GPS1mv","Risky",76,6,,false
0,17,0,NONE,"29LxkoeL","Rather detrimental",33,6,,false
0,17,0,NONE,"EXE8J3hO","Playing with fire",126,2,1,false
0,17,0,NONE,"XHkKKery","Suicide mission",152,3,1,false
0,18,0,NONE,"tnsqRHaJ","Gamble",75,3,,false
0,18,0,NONE,"bwALwCJD","Hmmm....",46,3,,false
0,18,0,NONE,"sr3z19vx","Gamble",43,3,,false
0,18,0,NONE,"Xv6mofTR","Playing with fire",29,4,,false
0,18,0,NONE,"uBtkgYnt","Risky",36,5,,false
0,18,0,NONE,"m8GPS1mv","Risky",76,5,,false
0,18,0,NONE,"29LxkoeL","Rather detrimental",33,5,,false
0,18,0,NONE,"EXE8J3hO","Playing with fire",126,1,1,false
0,18,0,NONE,"XHkKKery","Suicide mission",152,2,1,false
0,18,0,NONE,"6i0FXdJ5","Playing with fire",38,7,,true
0,19,0,NONE,"tnsqRHaJ","Gamble",75,2,,false
0,19,0,NONE,"bwALwCJD","Hmmm....",46,2,,true
0,19,0,NONE,"sr3z19vx","Gamble",43,2,,false
0,19,0,NONE,"Xv6mofTR","Playing with fire",29,3,,false
0,19,0,NONE,"uBtkgYnt","Risky",36,4,,false
0,19,0,NONE,"m8GPS1mv","Risky",76,4,,false
0,19,0,NONE,"29LxkoeL","Rather detrimental",33,4,,false
0,19,0,NONE,"XHkKKery","Suicide mission",152,1,1,false
0,19,0,NONE,"VUoiVZnf","Risky",145,3,1,false
0,19,0,NONE,"KKpkLdTX","Playing with fire",126,3,1,false
0,20,0,NONE,"tnsqRHaJ","Gamble",75,1,,false
0,20,0,NONE,"sr3z19vx","Gamble",43,1,,false
0,20,0,NONE,"Xv6mofTR","Playing with fire",29,2,,false
0,20,0,NONE,"uBtkgYnt","Risky",36,3,,false
0,20,0,NONE,"m8GPS1mv","Risky",76,3,,false
0,20,0,NONE,"29LxkoeL","Rather detrimental",33,3,,false
0,20,0,NONE,"VUoiVZnf","Risky",145,2,1,false
0,20,0,NONE,"KKpkLdTX","Playing with fire",126,2,1,false
0,20,0,NONE,"QebQpz7Z","Suicide mission",133,3,1,false
0,20,0,NONE,"ul0UUeXf","Piece of cake",64,7,,true
0,21,0,NONE,"Xv6mofTR","Playing with fire",29,1,,false
0,21,0,NONE,"uBtkgYnt","Risky",36,2,,false
0,21,0,NONE,"m8GPS1mv","Risky",76,2,,false
0,21,0,NONE,"29LxkoeL","Rather detrimental",33,2,,false
0,21,0,NONE,"VUoiVZnf","Risky",145,1,1,false
0,21,0,NONE,"KKpkLdTX","Playing with fire",126,1,1,false
0,21,0,NONE,"QebQpz7Z","Suicide mission",133,2,1,false
0,21,0,NONE,"oKtMrJ1O","Playing with fire",148,3,1,true
0,21,0,NONE,"dOoPnGsn","Piece of cake",75,7,,false
0,21,0,NONE,"2F9KTlE1","Suicide mission",125,3,1,false
0,23,0,NONE,"dOoPnGsn","Piece of cake",75,5,,false
