game,arm,rewardArm,turn,level,lives,gold,score,tier,adId,message,reward,expiresIn,success
0,NONE,HIGH,0,0,3,0,0,"Piece of cake","vBsTAY1m","Steal cat delivery to Ximun Howland and share some of the profits with the people.",60,7,true
0,NONE,HIGH,1,0,3,60,60,"Piece of cake","eJbIXJe9","Escort Cherokee Kingston to village in Pengarden where they can meet with their long lost sheep",55,6,true
0,NONE,HIGH,2,0,3,115,115,"Piece of cake","w5Mb5CHT","Create an advertisement campaign for Eeva Jenkins to promote their chariot based business",31,5,true
0,NONE,LOW,3,0,3,146,146,"Piece of cake","ITYywv3y","Help Arezu Callow to transport a magic house to thrift shoppe in Redheart",9,6,true
0,NONE,LOW,4,0,3,155,155,"Piece of cake","GsBIs0is","Help Marceline Evanson to clean their sheep",8,7,true
0,NONE,LOW,5,0,3,163,163,"Walk in the park","YchQPy3b","Help Leann Shepard to transport a magic beer mug to thrift shoppe in Northdrone",14,3,true
0,NONE,NA,6,0,3,177,177,"Piece of cake","2ZQo8awN","Help Ronit Augustine to write their biographical novel about their difficulties with a deranged house",18,7,true
0,NONE,LOW,7,0,3,195,195,"Quite likely","dNG2FI8t","Help Frej Jackson to reach an agreement with Eugeneia Daniell on the matters of disputed squirrel",15,7,false
0,NONE,LOW,8,0,2,195,195,"Quite likely","cpLC0YOb","Help Anh Mínervudóttir to transport a magic clothes to village in Ridgeshaw",16,6,true
0,NONE,HIGH,9,0,2,211,211,"Quite likely","VlJkv0qx","Escort Prasanna Jenkins to village in Sharpbane where they can meet with their long lost water",74,5,true
0,NONE,HIGH,10,0,2,285,285,"Gamble","sTg3ft1I","Create an advertisement campaign for Antwan Scarlett to promote their pan based business",37,4,false
0,NONE,LOW,12,0,2,235,285,"Piece of cake","4LARZPTq","Help Mariamne Björnsdóttir to reach an agreement with Funda Christopher on the matters of disputed chicken",15,4,true
0,NONE,HIGH,13,0,2,250,300,"Rather detrimental","jV4R3hZB","Help Antoni Quickley to sell an unordinary water on the local market",36,4,false
0,NONE,LOW,15,0,2,200,300,"Walk in the park","lRsrUEgv","Help Shyam Meadows to sell an unordinary weed on the local market",27,6,false
0,NONE,HIGH,17,0,2,150,300,"Piece of cake","NZzzPtek","Escort Yrian Hepburn to meadow in Thornmere where they can meet with their long lost pot",74,4,false
